UUID,sector,category,activity_id,name,activity_unit,kgCO2e-AR5,kgCO2e-AR4,kgCO2,kgCH4,kgN2O,kgCO2e-OtherGHGs-AR5,kgCO2e-OtherGHGs-AR4,uncertainty,scope,lca_activity,source,dataset,year_released,year_valid_from,region,data_quality,data_accessed,description,source_link
91044bd7-4e4a-4f94-8df3-112bf6dfb9d5,Waste,Drywall Waste,waste-type_drywall-disposal_method_landfilled,Drywall - Landfilled,short ton,not-supplied,20.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material to landfill. These factors do not include any avoided emissions impact from any of the disposal methods. Landfilling emissions include transport to landfill/equipment use at landfill and fugitive landfill CH4 emissions. Landfill CH4 is based on typical landfill gas collection practices and average landfill moisture conditions. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
aa193dc8-2532-4dfd-8ed0-19354212db25,Waste,Fiberglass Insulation Waste,waste-type_fiberglass_insulation-disposal_method_landfilled,Fiberglass Insulation - Landfilled,short ton,not-supplied,20.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material to landfill. These factors do not include any avoided emissions impact from any of the disposal methods. Landfilling emissions include transport to landfill/equipment use at landfill and fugitive landfill CH4 emissions. Landfill CH4 is based on typical landfill gas collection practices and average landfill moisture conditions. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
28359a57-a708-4f76-a62a-688a95ef82c2,Waste,Vinyl Flooring Waste,waste-type_vinyl_flooring-disposal_method_landfilled,Vinyl Flooring - Landfilled,short ton,not-supplied,20.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material to landfill. These factors do not include any avoided emissions impact from any of the disposal methods. Landfilling emissions include transport to landfill/equipment use at landfill and fugitive landfill CH4 emissions. Landfill CH4 is based on typical landfill gas collection practices and average landfill moisture conditions. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
720d6926-0197-422a-8467-7dfecb9a1bd9,Waste,Wood Flooring Waste,waste-type_wood_flooring-disposal_method_landfilled,Wood Flooring - Landfilled,short ton,not-supplied,180.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material to landfill. These factors do not include any avoided emissions impact from any of the disposal methods. Landfilling emissions include transport to landfill/equipment use at landfill and fugitive landfill CH4 emissions. Landfill CH4 is based on typical landfill gas collection practices and average landfill moisture conditions. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
5490ebc9-26e7-41b4-8f98-0d4d58860cc1,Waste,Aluminum Cans Waste,waste-type_aluminum_cans-disposal_method_combusted,Aluminum Cans - Combusted,short ton,not-supplied,10.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
7de1c4bf-9e56-43fa-bf37-618d1e018e4d,Waste,Aluminum Ingot Waste,waste-type_aluminum_ingot-disposal_method_combusted,Aluminum Ingot - Combusted,short ton,not-supplied,10.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
9d6db2fa-4aec-4a94-ab18-e09e84bbc199,Waste,Steel Cans Waste,waste-type_steel_cans-disposal_method_combusted,Steel Cans - Combusted,short ton,not-supplied,10.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
0249fc4f-da56-4f31-9dcd-74b39a6e7a6f,Waste,Copper Wire Waste,waste-type_copper_wire-disposal_method_combusted,Copper Wire - Combusted,short ton,not-supplied,10.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
60595cd6-00c3-4b97-a101-bcef53a0ae62,Waste,Glass Waste,waste-type_glass-disposal_method_combusted,Glass - Combusted,short ton,not-supplied,10.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
ae53bc59-83e9-48a8-85f5-c7b64d531195,Waste,HDPE Waste,waste-type_hdpe-disposal_method_combusted,HDPE - Combusted,short ton,not-supplied,2800.0,not-supplied,not-supplied,not-supplied,not-supplied,not-supplied, ,3,end_of_life,EPA,GHG Emission Factors Hub,2023,2023,US, ,03/05/2024,Emission intensity of disposing of the specified material through combustion. These factors do not include any avoided emissions impact from any of the disposal methods. Combustion emissions include transport to combustion facility and combustion-related non-biogenic CO2 and N2O. Retrieved from the EPA's GHG Emission Factors Hub (xlsx).,https://www.epa.gov/climateleadership/ghg-emission-factors-hub
